Codigo do Reembolso,Nome do Parlamentar,Ano do Gasto,Tipo da Cota,Fornecedor,Valor
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Emissão bilhete aéreo,Cia Aérea - GOL,"R$ 301,17","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Emissão bilhete aéreo,Cia Aérea - GOL,"R$ 1136,17","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6624435/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Locação ou fretamento de veículos automotores,QUASAR LOCADORA DE VEICULOS LTDA - EPP,"R$ 3800,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6628186/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Telefonia,OI S.A. - EM RECUPERACAO JUDICIAL,"R$ 52,31","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Emissão bilhete aéreo,Cia Aérea - TAM,"R$ 867,93","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6612759/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Fornecimento de alimentação do parlamentar,PBJM COMERCIO DE GENEROS ALIMENTICIOS LTDA - EPP,"R$ 54,89","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Emissão bilhete aéreo,Cia Aérea - GOL,"R$ 698,17","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6629889/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Assinatura de publicações,Editora Globo S.A. PARQUE GRÁFICO,"R$ 139,90","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6617035/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Telefonia,CLARO NET S/A,"R$ 334,16","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6615337/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,"Serviço de táxi, pedágio e estacionamento",ALLPARK EMPREEND. PARTIC. E SERV. S/A,"R$ 20,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Emissão bilhete aéreo,Cia Aérea - GOL,"R$ -746,52","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Emissão bilhete aéreo,Cia Aérea - TAM,"R$ 774,17","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Serviços postais,CORREIOS - CARTA COMERCIAL,"R$ 1,85","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
