Codigo do Reembolso,Nome do Parlamentar,Ano do Gasto,Tipo da Cota,Fornecedor,Valor
"<a href=""/layers/#/documentId/6641228/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Locação ou fretamento de veículos automotores,QUASAR LOCADORA DE VEICULOS LTDA - EPP,"R$ 3800,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6641076/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,"Hospedagem ,exceto do parlamentar no distrito federal",ATLANTICA HOTELS INT. BRASIL LTDA,"R$ 139,05","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Serviços postais,CORREIOS - SEDEX 10,"R$ 150,30","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6645811/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Combustíveis e lubrificantes,POSTO J S CALDEIRA LTDA,"R$ 195,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6645703/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,"Hospedagem ,exceto do parlamentar no distrito federal",HOTEL NOVO LIMEIRA LTDA -EPP,"R$ 170,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6645676/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,"Hospedagem ,exceto do parlamentar no distrito federal",HOTEL NOVO LIMEIRA LTDA -EPP,"R$ 140,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6645784/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Combustíveis e lubrificantes,PAULO CESAR SEREJO MARTINELLI EIRELI,"R$ 187,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6640855/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Manutenção de escritório de apoio à atividade parlamentar,CLARO S.A.,"R$ 184,99","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Emissão bilhete aéreo,Cia Aérea - GOL,"R$ 1009,93","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Emissão bilhete aéreo,Cia Aérea - GOL,"R$ 1009,93","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6645768/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Combustíveis e lubrificantes,GONCALVES e MEIRELLES LT,"R$ 165,05","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6645632/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,"Hospedagem ,exceto do parlamentar no distrito federal",Hotel Portal D Oeste Ltda,"R$ 305,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6641182/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,"Hospedagem ,exceto do parlamentar no distrito federal",SAINT PAUL SUL GESTAO E SERVICOS LTDA ME,"R$ 119,07","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6641168/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,"Hospedagem ,exceto do parlamentar no distrito federal",SAINT PAUL SUL GESTAO E SERVICOS LTDA ME,"R$ 136,08","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6664164/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,"Hospedagem ,exceto do parlamentar no distrito federal",IBIS SOROCABA,"R$ 263,47","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6645880/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Combustíveis e lubrificantes,POSTO IRMAOS HERRERA LTDA,"R$ 180,99","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6649675/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Locação ou fretamento de veículos automotores,LOCALIZA RENT A CAR S.A.,"R$ 1134,80","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6659038/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Assinatura de publicações,Editora Globo S.A. PARQUE GRÁFICO,"R$ 139,90","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6645891/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Combustíveis e lubrificantes,AUTO POSTO OSCAR PORTO LT,"R$ 77,01","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6631412/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Serviços postais,ECT EMP BRAS DE CORREIOS E TELEGRAFOS,"R$ 29,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6629891/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Passagens aéreas,AZUL LINHAS AEREAS BRASILEIRAS S.A.,"R$ 912,93","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6650572/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Telefonia,TELEFONICA BRASIL S.A.,"R$ 589,99","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6645610/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Manutenção de escritório de apoio à atividade parlamentar,ELETROPAULO METROPOLITANA DE SÃO PAULO S/A,"R$ 38,52","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6645592/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Manutenção de escritório de apoio à atividade parlamentar,ELETROPAULO METROPOLITANA DE SÃO PAULO S/A,"R$ 33,43","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Serviços postais,CORREIOS - SEDEX 12,"R$ 69,30","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6629911/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Fornecimento de alimentação do parlamentar,O GAUCHO DA VILA LTDA ME ME,"R$ 66,55","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6628793/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Combustíveis e lubrificantes,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,"R$ 186,50","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6627772/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Fornecimento de alimentação do parlamentar,PBJM COMERCIO DE GENEROS ALIMENTICIOS LTDA - EPP,"R$ 54,89","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Serviços postais,CORREIOS - CARTA COMERCIAL,"R$ 3,70","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Emissão bilhete aéreo,Cia Aérea - GOL,"R$ 790,27","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6640872/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Telefonia,CLARO S.A.,"R$ 445,21","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6623899/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Passagens aéreas,OceanAir Linhas Aéreas S/A,"R$ 663,88","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6623570/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Serviços postais,ECT - EMP.BRAS.DE CORREIOS E TELEGRAFOS,"R$ 29,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6623540/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,"Serviço de táxi, pedágio e estacionamento",ALLPARK EMPREEND. PARTIC. E SERV. S/A,"R$ 99,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6642260/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Telefonia,CLARO S.A.,"R$ 174,99","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6623564/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Combustíveis e lubrificantes,AUTO POSTO AEROPORTO LTDA,"R$ 100,00","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6623545/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Fornecimento de alimentação do parlamentar,PBJM COMERCIO DE GENEROS ALIMENTICIOS LTDA - EPP,"R$ 63,96","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6629941/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",EDUARDO BOLSONARO,2018,Passagens aéreas,LATAM AIRLINES BRASIL,"R$ 1087,22","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/6620621/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Fornecimento de alimentação do parlamentar,ASS DOS SERVIDORES DA CAMARA DOS DEPUTADOS,"R$ 27,43","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
"<a href=""/layers/#/documentId/0/""><img alt=""Ver no Jarbas"" src=""/static/favicon/favicon-16x16.png""/></a>",JAIR BOLSONARO,2018,Emissão bilhete aéreo,Cia Aérea - GOL,"R$ -748,03","<img alt=""False"" src=""/static/admin/img/icon-no.svg""/>"
